"id","analytic_betweenness","analytic_coefficient","analytic_degree_total","analytic_degree_out","analytic_degree_in","analytic_closeness","label"
"http://columbia.bncollege.com/webapp/wcs/stores/servlet/BNCBHomePage?storeId=10053&catalogId=10001","0.000000","0.093939","46","0","46","0.000000","_"
"http://www.columbia.edu/cu/factfiles/","0.000000","1.000000","2","0","2","0.000000","_"
"http://www.childpolicyintl.org/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/cigar/","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/core/","0.000000","0.000000","3","0","3","0.000000","_"
"http://www.childpolicy.org/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.medievaljapanesestudies.org/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/shakespeare/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/metrotones/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.casacolumbia.org/templates/Home.aspx?articleid=287&zoneid=32","0.000000","0.000000","1","0","1","0.000000","_"
"http://blogs.cuit.columbia.edu/panhel/","0.000000","0.000000","5","0","5","0.000000","_"
"http://www.columbia.edu/cu/sol/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.iamlightblue.com/ccsc/","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/ultimate/nypd/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/ultimate/","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/china/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/swingphi/","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/swedish/","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/orchesis/","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.cumc.columbia.edu/dept/medicine/molecmen.html","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/mgc/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/interfaith/","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/news/evp.html","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.cuems.org/","0.000000","0.277778","11","0","11","0.000000","_"
"http://www.columbia.edu/cu/deltagamma/Delta_Gamma/Home.html","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/cu/circa/","0.000000","0.000000","1","0","1","0.000000","_"
"http://dev.alumni.columbia.edu/upcoming-events/feed","0.000000","0.000000","1","0","1","0.000000","_"
"http://www.columbia.edu/cu/csr/","0.000000","0.333333","3","0","3","0.000000","_"
"http://windowsupdate.microsoft.com/","0.000000","0.000000","1","0","1","0.000000","_"
"http://cdrs.columbia.edu/cdrsmain/feed/","0.000000","0.000000","2","0","2","0.000000","_"
"https://blogs.cul.columbia.edu/spotlights/feed/","0.000000","0.110586","606","0","606","0.000000","_"
"https://shib.lynda.com/Shibboleth.sso/InCommon?providerId=urn:mace:incommon:columbia.edu&target=https://shib.lynda.com/InCommon","0.000000","0.000000","2","0","2","0.000000","_"
"http://www.columbia.edu/library/marli","0.000000","0.000000","1","0","1","0.000000","_"
"http://literaticustomization.credoreference.com/columbia-university/columbia-university-videos-and-tutorials","0.000000","0.000000","1","0","1","0.000000","_"
"http://library.columbia.edu/services/butler-lockers/dates.htm","0.000000","0.000000","1","0","1","0.000000","_"
"http://library.columbia.edu/news/libraries/2015/2015-2-16_Press_Release_Research_Without_Borders_Panel_Fair_Use_Art_Photography.html","0.000000","0.000000","1","0","1","0.000000","_"
"http://library.columbia.edu/content/libraryweb/news.feed","0.000000","0.000000","1","0","1","0.000000","_"
"http://blogs.cul.columbia.edu/business/feed","0.000000","0.000000","1","0","1","0.000000","_"
"https://blogs.cul.columbia.edu/business/feed","0.000000","0.000000","1","0","1","0.000000","_"
"http://density.adicu.com/","0.000000","0.000000","3","0","3","0.000000","_"
"http://ludwig.cul.columbia.edu/feed2js/feed2js.php?src=http%3A%2F%2Fclio.columbia.edu%2Fcatalog%3F%26datasource%3Dcatalog%26f%255Bacq_dt%255D%255B%255D%3Dmonth_1%26f_operator%255Blocation_facet%255D%3DOR%26format%3Datom%26page%3D1%26q%3Dhuman%2Brights%26rows%3D50%26search%3Dtrue%26search_field%3Dsubject%26sort%3Dacq_dt%2Bdesc%252C%2Btitle_sort%2Basc%26utf8%3D%25E2%259C%2593&chan=y&num=5&au=n&desc=0&date=n&targ=y&utf=y&html=y","0.000000","0.000000","1","0","1","0.000000","_"
